ID,Штрихкод,Бренд,Название,Категория,Размер,Цвет,L1,💰 Стоимость,🔵 Артикул Ozon,🟣 Артикул WB,🟣 nm_id,🟡 Остаток сайт (109 / 240),🟣 Остаток WB (129 / 161 / 240),🔵 Остаток Ozon (98 / 143 / 240),📊 Общий остаток,🟣 Заказы WB 14д,🟣 Заказы WB 28д,🟣 Заказы WB 40д,🔵 Заказы Ozon 14д,🔵 Заказы Ozon 28д,🔵 Заказы Ozon 40д,📊 Всего заказов 14д,📊 Всего заказов 28д,📊 Всего заказов 40д,🟣 Выкупы WB 14д (T-21..-7),🔵 Выкупы Ozon 14д (T-21..-7),📊 % выкупа 14д,🟣 Выручка WB 28д,🔵 Выручка Ozon 28д,📊 Общая выручка 28д,🟣 Ср.выручка WB 28д,🔵 Ср.выручка Ozon 28д,📊 Ср.выручка общая 28д,🟣 Ср.доход WB / шт. 28д,🔵 Ср.доход Ozon / шт. 28д,🟣 Сумм.доход WB 28д,🔵 Сумм.доход Ozon 28д,📋 План закупок (14д на 30д),📋 План закупок (28д на 30д),💰 Стоимость закупки L1 (14д на 30д),💰 Стоимость закупки не L1 (14д на 30д),💰 Стоимость закупки L1 (28д на 30д),💰 Стоимость закупки не L1 (28д на 30д),📦 Приедут L1,📦 Приедут NoL,📊 Расчетный (14д на 30д),📊 Расчетный (28д на 30д),💰 Капитализация склада,💰 Себестоимость склада,📈 Индекс склада (14д),📈 Индекс капитализации,📈 Коэф.доходности,🏷️ Ярлыки,🟣 Динамика WB,🔵 Динамика Ozon,📊 Динамика общая,🟣 Доля WB 28д,🔵 Доля Ozon 28д,🟣 Выкупы WB,🔵 Выкупы Ozon,📊 Выкупы общие,🏢 Центральные склады,🏢 ТОП-3 склады,🟣📦 Остатки Центральный,🟣📦 Остатки Южный + Северо-Кавказский,🟣📦 Остатки Северо-Западный,🟣📦 Остатки Приволжский,🟣📦 Остатки Уральский,🟣📦 Остатки Дальневосточный + Сибирский,"🔵📦 Остатки Москва, МО и Дальние регионы",🔵📦 Остатки Санкт-Петербург и СЗО,🔵📦 Остатки Ростов,🔵📦 Остатки Казань,🔵📦 Остатки Новосибирск,🔵📦 Остатки Краснодар,🔵📦 Остатки Воронеж,🔵📦 Остатки Самара
56,2037774363411,DSS,Кольцо «Джейн»,Кольца,17,Зол,Да,159,D313,D155DKLC125,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,795,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2039460062271,DSS,Кольцо «Джейн»,Кольца,17.5,Зол,Да,122,D392,D155DKLC125,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SZ,LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2037774363428,DSS,Кольцо «Джейн»,Кольца,18,Зол,Да,122,D314,D155DKLC125,163679510,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,610,0,0,0,5,5,366,366,3,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,1,0,1,1,0,0,0,0,0,0,0,0,0,0
60,2039460092452,DSS,Кольцо «Джейн»,Кольца,16,Сер,Да,284,D400-S,D155DKLC125-S,207878533,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 420,0,1 420,0,0,0,5,5,568,568,2,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,1,0,0,0,1,0,0,0,0,0,0,0,0,0
62,2039460092490,DSS,Кольцо «Джейн»,Кольца,18,Сер,Да,284,D404-S,D155DKLC125-S,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 420,0,1 420,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2039565778787,DSS,Кольцо «Дракон удачи»,Кольца,17,Зол,Да,152,D411,DKLC410,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,760,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2039565778794,DSS,Кольцо «Дракон удачи»,Кольца,18,Зол,Да,152,D412,DKLC410,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,760,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2037774364388,DSS,Кольцо «Жук-носорог»,Кольца,16,Зол,Да,234,D318,D155DKLC127,Пусто,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 170,0,1 170,0,0,0,5,5,234,234,1,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2037774364395,DSS,Кольцо «Жук-носорог»,Кольца,17,Зол,Да,234,D319,D155DKLC127,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 170,0,1 170,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2037774364401,DSS,Кольцо «Жук-носорог»,Кольца,18,Зол,Да,184,D320,D155DKLC127,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,920,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
